Code	Description	F3	F4
772	Renting and leasing of personal and household goods	N	NULL
7721	Renting and leasing of recreational and sports goods	N	NULL
7722	Renting of video tapes and disks	N	NULL
7729	Renting and leasing of other personal and household goods	N	NULL
773	Renting and leasing of other machinery, equipment and tangible goods	N	NULL
7730	Renting and leasing of other machinery, equipment and tangible goods	N	NULL
774	Leasing of intellectual property and similar products, except copyrighted works	N	NULL
7740	Leasing of intellectual property and similar products, except copyrighted works	N	NULL
78	Employment activities	N	NULL
781	Activities of employment placement agencies	N	NULL
7810	Activities of employment placement agencies	N	NULL
782	Temporary employment agency activities	N	NULL
7820	Temporary employment agency activities	N	NULL
783	Other human resources provision	N	NULL
7830	Other human resources provision	N	NULL
79	Travel agency, tour operator, reservation service and related activities	N	NULL
791	Travel agency and tour operator activities	N	NULL
7911	Travel agency activities	N	NULL
7912	Tour operator activities	N	NULL
799	Other reservation service and related activities	N	NULL
7990	Other reservation service and related activities	N	NULL
80	Security and investigation activities	N	NULL
801	Private security activities	N	NULL
8010	Private security activities	N	NULL
802	Security systems service activities	N	NULL
8020	Security systems service activities	N	NULL
803	Investigation activities	N	NULL
8030	Investigation activities	N	NULL
81	Services to buildings and landscape activities	N	NULL
811	Combined facilities support activities	N	NULL
8110	Combined facilities support activities	N	NULL
812	Cleaning activities	N	NULL
8121	General cleaning of buildings	N	NULL
8129	Other building and industrial cleaning activities	N	NULL
813	Landscape care and maintenance service activities	N	NULL
8130	Landscape care and maintenance service activities	N	NULL
82	Office administrative, office support and other business support activities	N	NULL
821	Office administrative and support activities	N	NULL
8211	Combined office administrative service activities	N	NULL
8219	Photocopying, document preparation and other specialized office support activities	N	NULL
822	Activities of call centres	N	NULL
8220	Activities of call centres	N	NULL
823	Organization of conventions and trade shows	N	NULL
8230	Organization of conventions and trade shows	N	NULL
829	Business support service activities n.e.c.	N	NULL
8291	Activities of collection agencies and credit bureaus	N	NULL
8292	Packaging activities	N	NULL
8299	Other business support service activities n.e.c.	N	NULL
O	Public administration and defence; compulsory social security	O	NULL
84	Public administration and defence; compulsory social security	O	NULL
841	Administration of the State and the economic and social policy of the community	O	NULL
8411	General public administration activities	O	NULL
8412	Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security	O	NULL
8413	Regulation of and contribution to more efficient operation of businesses	O	NULL
842	Provision of services to the community as a whole	O	NULL
8421	Foreign affairs	O	NULL
8422	Defence activities	O	NULL
8423	Public order and safety activities	O	NULL
843	Compulsory social security activities	O	NULL
8430	Compulsory social security activities	O	NULL
P	Education	P	NULL
85	Education	P	NULL
851	Pre-primary and primary education	P	NULL
8510	Pre-primary and primary education	P	NULL
852	Secondary education	P	NULL
8521	General secondary education	P	NULL
8522	Technical and vocational secondary education	P	NULL
853	Higher education	P	NULL
8530	Higher education	P	NULL
854	Other education	P	NULL
8541	Sports and recreation education	P	NULL
8542	Cultural education	P	NULL
8549	Other education n.e.c.	P	NULL
855	Educational support activities	P	NULL
8550	Educational support activities	P	NULL
Q	Human health and social work activities	Q	NULL
86	Human health activities	Q	NULL
861	Hospital activities	Q	NULL
8610	Hospital activities	Q	NULL
862	Medical and dental practice activities	Q	NULL
8620	Medical and dental practice activities	Q	NULL
869	Other human health activities	Q	NULL
8690	Other human health activities	Q	NULL
87	Residential care activities	Q	NULL
871	Residential nursing care facilities	Q	NULL
8710	Residential nursing care facilities	Q	NULL
872	Residential care activities for mental retardation, mental health and substance abuse	Q	NULL
8720	Residential care activities for mental retardation, mental health and substance abuse	Q	NULL
873	Residential care activities for the elderly and disabled	Q	NULL
8730	Residential care activities for the elderly and disabled	Q	NULL
879	Other residential care activities	Q	NULL
8790	Other residential care activities	Q	NULL
88	Social work activities without accommodation	Q	NULL
881	Social work activities without accommodation for the elderly and disabled	Q	NULL
8810	Social work activities without accommodation for the elderly and disabled	Q	NULL
889	Other social work activities without accommodation	Q	NULL
8890	Other social work activities without accommodation	Q	NULL
R	Arts, entertainment and recreation	R	NULL
90	Creative, arts and entertainment activities	R	NULL
900	Creative, arts and entertainment activities	R	NULL
9000	Creative, arts and entertainment activities	R	NULL
91	Libraries, archives, museums and other cultural activities	R	NULL
910	Libraries, archives, museums and other cultural activities	R	NULL
9101	Library and archives activities	R	NULL
9102	Museums activities and operation of historical sites and buildings	R	NULL
9103	Botanical and zoological gardens and nature reserves activities	R	NULL
92	Gambling and betting activities	R	NULL
920	Gambling and betting activities	R	NULL
9200	Gambling and betting activities	R	NULL
93	Sports activities and amusement and recreation activities	R	NULL
931	Sports activities	R	NULL
9311	Operation of sports facilities	R	NULL
9312	Activities of sports clubs	R	NULL
9319	Other sports activities	R	NULL
932	Other amusement and recreation activities	R	NULL
9321	Activities of amusement parks and theme parks	R	NULL
9329	Other amusement and recreation activities n.e.c.	R	NULL
S	Other service activities	S	NULL
94	Activities of membership organizations	S	NULL
941	Activities of business, employers and professional membership organizations	S	NULL
9411	Activities of business and employers membership organizations	S	NULL
9412	Activities of professional membership organizations	S	NULL
942	Activities of trade unions	S	NULL
9420	Activities of trade unions	S	NULL
949	Activities of other membership organizations	S	NULL
9491	Activities of religious organizations	S	NULL
9492	Activities of political organizations	S	NULL
9499	Activities of other membership organizations n.e.c.	S	NULL
95	Repair of computers and personal and household goods	S	NULL
951	Repair of computers and communication equipment	S	NULL
9511	Repair of computers and peripheral equipment	S	NULL
9512	Repair of communication equipment	S	NULL
952	Repair of personal and household goods	S	NULL
9521	Repair of consumer electronics	S	NULL
9522	Repair of household appliances and home and garden equipment	S	NULL
9523	Repair of footwear and leather goods	S	NULL
9524	Repair of furniture and home furnishings	S	NULL
9529	Repair of other personal and household goods	S	NULL
96	Other personal service activities	S	NULL
960	Other personal service activities	S	NULL
9601	Washing and (dry-) cleaning of textile and fur products	S	NULL
9602	Hairdressing and other beauty treatment	S	NULL
9603	Funeral and related activities	S	NULL
9609	Other personal service activities n.e.c.	S	NULL
T	Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use	T	NULL
97	Activities of households as employers of domestic personnel	T	NULL
970	Activities of households as employers of domestic personnel	T	NULL
9700	Activities of households as employers of domestic personnel	T	NULL
98	Undifferentiated goods- and services-producing activities of private households for own use	T	NULL
981	Undifferentiated goods-producing activities of private households for own use	T	NULL
9810	Undifferentiated goods-producing activities of private households for own use	T	NULL
982	Undifferentiated service-producing activities of private households for own use	T	NULL
9820	Undifferentiated service-producing activities of private households for own use	T	NULL
U	Activities of extraterritorial organizations and bodies	U	NULL
99	Activities of extraterritorial organizations and bodies	U	NULL
990	Activities of extraterritorial organizations and bodies	U	NULL
9900	Activities of extraterritorial organizations and bodies	U	NULL
 	NULL	NULL	NULL
0000	Unknown Activity	0	NULL
